CompanyName,Codes
Asahi Infrastructure & Projects Ltd.,512535
Asahi Songwon Colors Ltd.,532853
Aseem Global Ltd.,534564
Ashapura Intimates Fashion Ltd.,535467
Ashapura Minechem Ltd.,527001
Ashco Niulab Industries Ltd.-$,517565
Ashiana Agro Industries Ltd.,519174
Ashiana Housing Ltd.-$,523716
Ashiana Ispat Ltd.,513401
Ashika Credit Capital Ltd.,590122
Ashima Ltd.,514286
Ashirwad Capital Ltd.,512247
Ashirwad Steels & Industries Ltd.,526847
Ashish Polyplast Ltd.,530429
Ashnoor Textile Mills Ltd.,507872
Ashok Alco-chem Ltd.,524594
Ashok Leyland Ltd.,500477
Ashoka Buildcon Ltd.,533271
Ashoka Refineries Ltd.,526983
Ashram Online.com Ltd.,526187
Ashutosh Paper Mills Ltd.,531568
Asia Capital Ltd,538777
Asia Pack Ltd.,530899
Asian Electronics Ltd.,503940
Asian Flora Ltd.,531392
Asian Granito India Ltd.,532888
Asian Hotels (east) Ltd.,533227
Asian Hotels (north) Limited,500023
Asian Hotels (west) Ltd.,533221
Asian Oilfield Services Ltd.,530355
Asian Paints Ltd.,500820
Asian Petroproducts & Exports Ltd.,524434
Asian Star Co.ltd.-$,531847
Asian Tea & Exports Ltd.-$,519532
Asis Logistics Limited,506159
Asit C.mehta Financial Services Ltd.,530723
Asm Technologies Ltd.,526433
Assam Company (india) Limited,500024
Associated Alcohols & Breweries Ltd.,507526
Associated Stone Industries (kotah) Ltd.,502015
Astec Lifesciences Limited,533138
Astra Microwave Products Ltd.,532493
Astral Poly Technik Ltd.,532830
Astrazeneca Pharma India Ltd.,506820
Asya Infosoft Limited,511144
Atharv Enterprises Ltd.,530187
Athena Constructions Ltd,539099
Athena Global Technologies Ltd,517429
Atishay Ltd,538713
Atlanta Devcon Limited,526843
Atlanta Infrastructure And Finance Ltd.,530479
Atlanta Ltd.,532759
Atlas Cycles (haryana) Ltd.,505029
Atlas Jewellery India Limited,514394
Atn International Ltd.,511427
Atul Auto Ltd.-$,531795
Atul Ltd.,500027
Atv Projects India Ltd.,500028
Aunde India Limited-$,532459
Aurangabad Paper Mills Ltd.,502352
Aurionpro Solutions Ltd.,532668
Auro Laboratories Ltd.,530233
Aurobindo Pharma Ltd.,524804
Auroma Coke Ltd.,531336
Aurum Soft Systems Limited,530885
Ausom Enterprise Limited,509009
Austin Engineering Co.ltd.,522005
Austral Coke & Projects Ltd.,533016
Authum Investment & Infrastucture Ltd,539177
